St;Max;St;Anz1
923;10528;923;68
924;9232;924;130
925;9232;925;130
926;9232;926;130
927;15856;927;117
928;928;928;24
929;9232;929;130
930;1396;930;37
931;4192;931;37
932;9232;932;86
933;9232;933;86
934;9232;934;86
935;9232;935;130
936;936;936;24
937;250504;937;174
938;1408;938;24
939;9232;939;86
940;9232;940;130
941;9232;941;130
942;9232;942;130
943;9556;943;37
944;944;944;37
945;2836;945;37
946;1600;946;37
947;4264;947;37
948;948;948;37
949;2848;949;37
950;3616;950;29
951;6424;951;29
952;952;952;37
953;3220;953;29
954;1432;954;37
955;4840;955;29
956;9232;956;55
957;9232;957;55
958;9232;958;55
959;41524;959;130
960;960;960;24
961;2884;961;50
962;2752;962;50
963;4336;963;50
964;964;964;24
965;2896;965;24
966;2176;966;24
967;9232;967;143
968;9232;968;99
969;4912;969;50
970;9232;970;99
971;4372;971;37
972;9232;972;99
973;9232;973;99
974;9232;974;143
975;9880;975;143
976;976;976;24
977;9232;977;99
978;4192;978;50
979;4408;979;50
980;980;980;24
981;2944;981;24
982;9232;982;143
983;9232;983;143
984;984;984;50
985;3328;985;24
986;1480;986;50
987;7504;987;37
988;1672;988;50
989;2968;989;50
990;14308;990;99
991;15064;991;99
992;9232;992;112
993;8080;993;94
994;1492;994;24
995;4480;995;24
996;996;996;50
997;2992;997;50
998;2248;998;50
999;11392;999;50
1000;9232;1000;112
1001;21688;1001;143
1002;9232;1002;112
1003;8584;1003;42
1004;9232;1004;68
1005;9232;1005;68
1006;9232;1006;68
1007;39364;1007;94
1008;9232;1008;112
1009;9232;1009;112
1010;2752;1010;63
1011;4552;1011;63
1012;9232;1012;112
1013;9232;1013;112
1014;2896;1014;37
1015;6856;1015;37
1016;4372;1016;50
1017;9232;1017;156
1018;4372;1018;50
1019;5812;1019;63
1020;13120;1020;50
1021;13120;1021;50
1022;39364;1022;63
1023;118096;1023;63
1024;1024;1024;11
1025;3076;1025;37
1026;1540;1026;37
1027;4624;1027;37
1028;9232;1028;125
1029;9232;1029;125
1030;9232;1030;125
1031;6964;1031;37
1032;9232;1032;125
1033;9232;1033;156
1034;9232;1034;125
1035;9232;1035;125
1036;9232;1036;125
1037;9232;1037;125
1038;3508;1038;63
1039;10528;1039;63
1040;1040;1040;32
1041;9232;1041;125
1042;9232;1042;125
1043;9232;1043;125
1044;1044;1044;32
1045;3136;1045;32
1046;9232;1046;125
1047;9232;1047;125
1048;1048;1048;32
1049;3544;1049;63
1050;1576;1050;32
1051;45520;1051;94
1052;9232;1052;81
1053;9232;1053;81
1054;9232;1054;81
1055;250504;1055;169
1056;1056;1056;32
1057;9232;1057;81
1058;1588;1058;32
1059;4768;1059;32
1060;9232;1060;125
1061;9232;1061;125
1062;9232;1062;125
1063;8080;1063;76
1064;1064;1064;32
1065;12148;1065;76
1066;1600;1066;32
1067;4804;1067;63
1068;1204;1068;24
